dataset,earliness_factor,ptsepsilon,warmup_steps,drop_probability,accuracy,earliness,score
Adiac,0.25,10,5,0.25,0.7391304347826086,0.5796373906705539,0.3107027982000254
Beef,0.25,10,5,0.25,0.2,0.0,0.2
CBF,0.25,10,5,0.5,0.7933333333333333,0.24613681102362206,0.5980647965879266
ChlorineConcentration,0.25,10,5,0.25,0.5325520833333334,3.156565656565657e-06,0.5325504022977168
CinCECGTorso,0.25,10,5,0.5,0.5804347826086956,0.4488828108619776,0.31988758586924343
Coffee,0.25,10,5,0.75,0.5357142857142857,0.0,0.5357142857142857
CricketX,0.25,10,5,0.25,0.7102564102564103,0.4848204331899983,0.36590958975992427
CricketY,0.25,10,5,0.5,0.676923076923077,0.5495923913043478,0.30489130434782613
CricketZ,0.25,10,5,0.25,0.7487179487179487,0.4957298136645963,0.37755613951266126
DiatomSizeReduction,0.25,10,5,0.25,0.9117647058823528,0.2401017441860465,0.6928484097127222
ECG200,0.25,0,5,0.25,0.83,0.17307200292397662,0.6863502375730993
ECGFiveDays,0.25,10,5,0.5,0.497096399535424,0.0,0.497096399535424
FaceAll,0.25,10,5,0.25,0.8887573964497042,0.3270631300679377,0.598077620495833
FaceFour,0.25,10,5,0.75,0.7272727272727273,0.24127716093600765,0.5517984284101763
FacesUCR,0.25,10,5,0.5,0.744390243902439,0.4423040501165501,0.4151434241571437
FiftyWords,0.25,10,5,0.5,0.6439560439560439,0.5815510073685609,0.26946275789233326
Fish,0.25,10,5,0.25,0.8857142857142857,0.47023665607442205,0.46921896176265476
GunPoint,0.25,10,5,0.25,0.5066666666666667,0.0,0.5066666666666667
Haptics,0.25,10,5,0.25,0.4188311688311688,0.3735885390961009,0.26236064433962003
InlineSkate,0.25,10,5,0.25,0.2309090909090909,0.1488256584776668,0.196543893406066
ItalyPowerDemand,0.25,10,5,0.25,0.5014577259475219,0.00011988491048593352,0.5013976087329342
Lightning2,0.25,10,5,0.25,0.5409836065573771,0.0,0.5409836065573771
Lightning7,0.25,10,5,0.5,0.8493150684931506,0.7061195186932215,0.24959712110986662
Mallat,0.25,10,5,0.5,0.6119402985074627,0.3460732039975746,0.40016415874775285
MedicalImages,0.25,10,5,0.25,0.7342105263157894,0.3321830964528669,0.4903182002359214
MoteStrain,0.25,0,5,0.25,0.7907348242811502,0.2411332831325301,0.6000623400150121
OSULeaf,0.25,10,5,0.25,0.5909090909090909,0.43168097124413146,0.3358248806284678
OliveOil,0.25,10,5,0.5,0.4,0.0,0.4
SonyAIBORobotSurface1,0.25,10,5,0.25,0.8768718801996672,0.13337952898550726,0.7599151218379994
SonyAIBORobotSurface2,0.25,0,5,0.25,0.8394543546694648,0.2298239903143275,0.6465276051925897
SwedishLeaf,0.25,10,5,0.5,0.8688,0.4646163928169694,0.465141277920617
Symbols,0.25,0,5,0.25,0.8231155778894472,0.2639676901538323,0.605839660064333
SyntheticControl,0.25,10,5,0.25,0.88,0.32723902157164864,0.5920296610169492
Trace,0.25,10,5,0.25,0.72,0.21437804136253044,0.565647810218978
TwoLeadECG,0.25,0,5,0.25,0.4995610184372256,0.0,0.4995610184372256
TwoPatterns,0.25,10,5,0.5,0.63725,0.5836125953005875,0.2653428736447006
UWaveGestureLibraryX,0.25,10,5,0.25,0.7814070351758794,1.0,0.0
UWaveGestureLibraryY,0.25,10,5,0.75,0.6024567280848688,0.5551276682981596,0.26801632937257724
UWaveGestureLibraryZ,0.25,10,5,0.5,0.6834170854271356,0.5588686688686929,0.30147668861235055
Wafer,0.25,10,5,0.75,0.8921155094094744,0.0,0.8921155094094744
WordSynonyms,0.25,10,5,0.25,0.5862068965517241,0.6164548731862334,0.22483679847703558
Yoga,0.25,10,5,0.25,0.5366666666666666,0.00024014392991239048,0.5365377894242803
